id,terminalCode,containerType,freightType,costs,kgCO2e
1,DEHAM-ST,22G1,GENERAL,50,2
2,DEHAM-ST,22G1,DANGEROUS,100,2
21,DEHAM-ST,42R1,GENERAL,150,0
22,DEHAM-ST,42R1,DANGEROUS,300,0
31,DEHAM-ST,42P1,OUT_OF_GAUGE,500,10
101,USCHI-RT,22G1,GENERAL,75,2
102,USCHI-RT,22G1,DANGEROUS,125,2
121,USCHI-RT,42R1,GENERAL,175,0
122,USCHI-RT,42R1,DANGEROUS,325,0
131,USCHI-RT,42P1,OUT_OF_GAUGE,525,10
201,CAMTR-ST,22G1,GENERAL,75,2
202,CAMTR-ST,22G1,DANGEROUS,125,2
221,CAMTR-ST,42R1,GENERAL,175,0
222,CAMTR-ST,42R1,DANGEROUS,325,0
231,CAMTR-ST,42P1,OUT_OF_GAUGE,525,10
301,USNYC-ST,22G1,GENERAL,100,2
302,USNYC-ST,22G1,DANGEROUS,150,2
321,USNYC-ST,42R1,GENERAL,200,0
322,USNYC-ST,42R1,DANGEROUS,350,0
331,USNYC-ST,42P1,OUT_OF_GAUGE,550,10
401,NLRTM-STN,22G1,GENERAL,60,2
402,NLRTM-STN,22G1,DANGEROUS,110,2
421,NLRTM-STN,42R1,GENERAL,160,0
422,NLRTM-STN,42R1,DANGEROUS,310,0
431,NLRTM-STN,42P1,OUT_OF_GAUGE,510,10
501,NLRTM-STS,22G1,GENERAL,70,2
502,NLRTM-STS,22G1,DANGEROUS,120,2
521,NLRTM-STS,42R1,GENERAL,170,0
522,NLRTM-STS,42R1,DANGEROUS,320,0
531,NLRTM-STS,42P1,OUT_OF_GAUGE,520,10
601,DEMUC-RT,22G1,GENERAL,75,2
602,DEMUC-RT,22G1,DANGEROUS,125,2
621,DEMUC-RT,42R1,GENERAL,175,0
622,DEMUC-RT,42R1,DANGEROUS,325,0
631,DEMUC-RT,42P1,OUT_OF_GAUGE,525,10
701,DECGN-BT,22G1,GENERAL,40,2
702,DECGN-BT,22G1,DANGEROUS,90,2
721,DECGN-BT,42R1,GENERAL,140,0
722,DECGN-BT,42R1,DANGEROUS,290,0
731,DECGN-BT,42P1,OUT_OF_GAUGE,490,10
801,SGSIN-ST,22G1,GENERAL,50,2
802,SGSIN-ST,22G1,DANGEROUS,100,2
821,SGSIN-ST,42R1,GENERAL,150,0
822,SGSIN-ST,42R1,DANGEROUS,300,0
831,SGSIN-ST,42P1,OUT_OF_GAUGE,500,10
901,USORF-ST,22G1,GENERAL,50,2
902,USORF-ST,22G1,DANGEROUS,100,2
921,USORF-ST,42R1,GENERAL,150,0
922,USORF-ST,42R1,DANGEROUS,300,0
931,USORF-ST,42P1,OUT_OF_GAUGE,500,10
