id,terminalCode,containerType,freightType,costs,kgCO2e
11,CAMTR-ST,42R1,GENERAL,175,2
12,CAMTR-ST,22G1,GENERAL,75,1
13,CAMTR-ST,22G1,DANGEROUS,125,1
14,CAMTR-ST,42R1,DANGEROUS,325,2
15,CAMTR-ST,42P1,OUT_OF_GAUGE,525,2
20,DECGN-BT,22G1,GENERAL,40,1
21,DECGN-BT,22G1,DANGEROUS,90,1
22,DECGN-BT,42R1,GENERAL,140,2
23,DECGN-BT,42R1,DANGEROUS,290,2
24,DECGN-BT,42P1,OUT_OF_GAUGE,490,2
29,DEHAM-ST,22G1,GENERAL,50,1
30,DEHAM-ST,42P1,OUT_OF_GAUGE,500,2
31,DEHAM-ST,42R1,DANGEROUS,300,2
32,DEHAM-ST,42R1,GENERAL,150,2
33,DEHAM-ST,22G1,DANGEROUS,100,1
38,NLRTM-STN,42R1,DANGEROUS,310,2
39,NLRTM-STN,42R1,GENERAL,160,2
40,NLRTM-STN,42P1,OUT_OF_GAUGE,510,2
41,NLRTM-STN,22G1,DANGEROUS,110,1
42,NLRTM-STN,22G1,GENERAL,60,1
47,NLRTM-STS,42P1,OUT_OF_GAUGE,520,2
48,NLRTM-STS,42R1,GENERAL,170,2
49,NLRTM-STS,42R1,DANGEROUS,320,2
50,NLRTM-STS,22G1,DANGEROUS,120,1
51,NLRTM-STS,22G1,GENERAL,70,1
56,SGSIN-ST,42P1,OUT_OF_GAUGE,500,2
57,SGSIN-ST,42R1,DANGEROUS,300,2
58,SGSIN-ST,42R1,GENERAL,150,2
59,SGSIN-ST,22G1,DANGEROUS,100,1
60,SGSIN-ST,22G1,GENERAL,50,1
65,USNYC-ST,22G1,DANGEROUS,150,1
66,USNYC-ST,42R1,GENERAL,200,2
67,USNYC-ST,42R1,DANGEROUS,350,2
68,USNYC-ST,42P1,OUT_OF_GAUGE,550,2
69,USNYC-ST,22G1,GENERAL,100,1
74,USORF-ST,42R1,DANGEROUS,300,2
75,USORF-ST,22G1,GENERAL,50,1
76,USORF-ST,22G1,DANGEROUS,100,1
77,USORF-ST,42R1,GENERAL,150,2
78,USORF-ST,42P1,OUT_OF_GAUGE,500,2
