id,terminalCode,containerType,freightType,costs,kgCO2e
11,CAMTR-ST,22G1,GENERAL,60,0
12,CAMTR-ST,22G1,DANGEROUS,60,0
13,CAMTR-ST,42R1,GENERAL,120,30
14,CAMTR-ST,42R1,DANGEROUS,120,30
15,CAMTR-ST,42P1,OUT_OF_GAUGE,60,0
20,DECGN-BT,22G1,GENERAL,50,0
21,DECGN-BT,22G1,DANGEROUS,50,0
22,DECGN-BT,42R1,GENERAL,100,30
23,DECGN-BT,42R1,DANGEROUS,100,30
24,DECGN-BT,42P1,OUT_OF_GAUGE,50,0
29,DEHAM-ST,22G1,GENERAL,50,0
30,DEHAM-ST,22G1,DANGEROUS,50,0
31,DEHAM-ST,42R1,GENERAL,100,30
32,DEHAM-ST,42R1,DANGEROUS,100,30
33,DEHAM-ST,42P1,OUT_OF_GAUGE,50,0
38,DEMUC-RT,22G1,GENERAL,25,0
39,DEMUC-RT,22G1,DANGEROUS,25,0
40,DEMUC-RT,42R1,GENERAL,50,30
41,DEMUC-RT,42R1,DANGEROUS,50,30
42,DEMUC-RT,42P1,OUT_OF_GAUGE,25,0
47,NLRTM-STN,22G1,GENERAL,50,0
48,NLRTM-STN,22G1,DANGEROUS,50,0
49,NLRTM-STN,42R1,GENERAL,100,30
50,NLRTM-STN,42R1,DANGEROUS,100,30
51,NLRTM-STN,42P1,OUT_OF_GAUGE,50,0
56,NLRTM-STS,22G1,GENERAL,50,0
57,NLRTM-STS,22G1,DANGEROUS,50,0
58,NLRTM-STS,42R1,GENERAL,100,30
59,NLRTM-STS,42R1,DANGEROUS,100,30
60,NLRTM-STS,42P1,OUT_OF_GAUGE,50,0
65,SGSIN-ST,22G1,GENERAL,50,0
66,SGSIN-ST,22G1,DANGEROUS,50,0
67,SGSIN-ST,42R1,GENERAL,100,25
68,SGSIN-ST,42R1,DANGEROUS,100,25
69,SGSIN-ST,42P1,OUT_OF_GAUGE,50,0
74,USCHI-RT,22G1,GENERAL,50,0
75,USCHI-RT,22G1,DANGEROUS,50,0
76,USCHI-RT,42R1,GENERAL,100,35
77,USCHI-RT,42R1,DANGEROUS,100,35
78,USCHI-RT,42P1,OUT_OF_GAUGE,50,0
83,USNYC-ST,22G1,GENERAL,100,0
84,USNYC-ST,22G1,DANGEROUS,100,0
85,USNYC-ST,42R1,GENERAL,200,35
86,USNYC-ST,42R1,DANGEROUS,200,35
87,USNYC-ST,42P1,OUT_OF_GAUGE,100,0
92,USORF-ST,22G1,GENERAL,50,0
93,USORF-ST,22G1,DANGEROUS,50,0
94,USORF-ST,42R1,GENERAL,100,35
95,USORF-ST,42R1,DANGEROUS,100,35
96,USORF-ST,42P1,OUT_OF_GAUGE,50,0
